Cultivos,Ciclos,No. Dias,(tas),(has),Eficiencia,Areas Cultivadas,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Eficiencia Riego,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Arroz,1 ene- 31 may,150,114044,7127.75,20,1425.55,136.44,158.08,160.47,142.51,104.08,,,,,,,,1945020.42,2253509.44,2287580.085,2031551.305,1483712.44,,,,,,,,0.2,9725102.1,11267547.2,11437900.43,10157756.53,7418562.2,0,0,0,0,0,0,0
Arroz,1 feb- 30 jun,150,114044,7127.75,30,2138.325,,146.83,148.58,142.21,146.54,120.48,,,,,,,,3139702.598,3177123.285,3040911.983,3133501.455,2576253.96,,,,,,,0.2,0,15698512.99,15885616.43,15204559.91,15667507.28,12881269.8,0,0,0,0,0,0
Arroz,1 jul- 30 nov,150,114044,7127.75,20,1425.55,,,,,,,137.3,125.78,99.86,81.96,76.29,,,,,,,,1957280.15,1793056.79,1423554.23,1168380.78,1087552.095,,0.2,0,0,0,0,0,0,9786400.75,8965283.95,7117771.15,5841903.9,5437760.475,0
Arroz,1 ago- 31 dic,150,114044,7127.75,30,2138.325,,,,,,,,111.81,87.46,82.07,107.08,114.49,,,,,,,,2390861.183,1870179.045,1754923.328,2289718.41,2448168.293,0.2,0,0,0,0,0,0,0,11954305.91,9350895.225,8774616.638,11448592.05,12240841.46
Habichuela,1 nov - 20 feb,110,154059,9628.6875,40,3851.475,148.87,67.85,,,,,,,,,13.66,118.31,5733690.833,2613225.788,0,0,0,0,0,0,0,0,526111.485,4556680.073,0.2,28668454.16,13066128.94,0,0,0,0,0,0,0,0,2630557.425,22783400.36
Habichuela,1 dic - 20 mar,110,154059,9628.6875,60,5777.2125,128.91,161.04,60.62,,,,,,,,,51.88,7447404.634,9303623.01,3502146.218,0,0,0,0,0,0,0,0,2997217.845,0.2,37237023.17,46518115.05,17510731.09,0,0,0,0,0,0,0,0,14986089.23
Maiz,1 mar - 10 jun,110,49299,3081.1875,20,616.2375,,,82.27,102.07,145.59,58.58,,,,,,,0,0,506978.5913,628993.6163,897180.1763,360991.9275,0,0,0,0,0,0,0.2,0,0,2534892.956,3144968.081,4485900.881,1804959.638,0,0,0,0,0,0
Maiz,1 abr - 10 jul,110,49299,3081.1875,30,924.35625,,,,56.99,102.88,162.3,64.21,,,,,,0,0,0,526790.6269,950977.71,1500230.194,593529.1481,0,0,0,0,0,0.2,0,0,0,2633953.134,4754888.55,7501150.969,2967645.741,0,0,0,0,0
Maiz,1 sep - 10 dic,110,49299,3081.1875,20,616.2375,,,,,,,,,21.35,48.19,108.42,62.81,0,0,0,0,0,0,0,0,131566.7063,296964.8513,668124.6975,387058.7738,0.2,0,0,0,0,0,0,0,0,657833.5313,1484824.256,3340623.488,1935293.869
Maiz,1 oct - 10 ene,110,49299,3081.1875,30,924.35625,67.89,,,,,,,,,12.93,77.24,143.31,627545.4581,0,0,0,0,0,0,0,0,119519.2631,713972.7675,1324694.942,0.2,3137727.291,0,0,0,0,0,0,0,0,597596.3156,3569863.838,6623474.709
Sorgo,1 abr - 31 jul,120,320,20,20,4,,,,0,83.83,125.9,87.55,,,,,,0,0,0,0,3353.2,5036,3502,0,0,0,0,0,0.2,0,0,0,0,16766,25180,17510,0,0,0,0,0
Sorgo,1 may - 31 ago,120,320,20,30,6,,,,,0,98.98,128.77,67.23,,,,,0,0,0,0,0,5938.8,7726.2,4033.8,0,0,0,0,0.2,0,0,0,0,0,29694,38631,20169,0,0,0,0
Sorgo,1 ago - 30 nov,120,320,20,20,4,,,,,,,,0,44.9,54.26,52.11,,0,0,0,0,0,0,0,0,1796,2170.4,2084.4,0,0.2,0,0,0,0,0,0,0,0,8980,10852,10422,0
Sorgo,1 sep - 31 dic,120,320,20,30,6,,,,,,,,,0,33.47,82.71,90.66,0,0,0,0,0,0,0,0,0,2008.2,4962.6,5439.6,0.2,0,0,0,0,0,0,0,0,0,10041,24813,27198
Guandul,1 mar - 31 oct,240,18721,1170.0625,40,468.025,,,50.77,23.38,19.99,75.17,146.67,132.07,92.47,69.59,,,0,0,237616.2925,109424.245,93558.1975,351814.3925,686452.2675,618120.6175,432782.7175,325698.5975,0,0,0.2,0,0,1188081.463,547121.225,467790.9875,1759071.963,3432261.338,3090603.088,2163913.588,1628492.988,0,0
Guandul,1 abr - 30 nov,240,18721,1170.0625,60,702.0375,,,,22.79,20.32,34.92,79.45,122.21,93.3,73.13,93.15,,0,0,0,159994.3463,142654.02,245151.495,557768.7938,857960.0288,655000.9875,513400.0238,653947.9313,0,0.2,0,0,0,799971.7313,713270.1,1225757.475,2788843.969,4289800.144,3275004.938,2567000.119,3269739.656,0
Maní,1 mar - 10 jun,100,1565,97.8125,20,19.5625,,,36.77,81.89,136.62,141.33,57.37,,,,,,0,0,7193.13125,16019.73125,26726.2875,27647.68125,11223.00625,0,0,0,0,0,0.2,0,0,35965.65625,80098.65625,133631.4375,138238.4063,56115.03125,0,0,0,0,0
Maní,1 abr - 10 jul,100,1565,97.8125,30,29.34375,,,,7.57,81.57,153.2,144.42,46.15,,,,,0,0,0,2221.321875,23935.69688,44954.625,42378.24375,13542.14063,0,0,0,0,0.2,0,0,0,11106.60938,119678.4844,224773.125,211891.2188,67710.70313,0,0,0,0
Maní,1 ago - 10 nov,100,1565,97.8125,20,19.5625,,,,,,,,5.11,42.75,75.12,92.82,57.52,0,0,0,0,0,0,0,999.64375,8362.96875,14695.35,18157.9125,11252.35,0.2,0,0,0,0,0,0,0,4998.21875,41814.84375,73476.75,90789.5625,56261.75
Maní,1 sep - 10 dic,100,1565,97.8125,30,29.34375,63.77,,,,,,,,0,31.53,102.05,129.59,18712.50938,0,0,0,0,0,0,0,0,9252.084375,29945.29688,38026.56563,0.2,93562.54688,0,0,0,0,0,0,0,0,46260.42188,149726.4844,190132.8281
Platano,1 ene - 31 dic,365,583,36.4375,100,36.4375,64.97,68.03,49.89,22.79,48.31,117.69,146.54,122.51,85.6,67.91,91.58,129.3,23673.44375,24788.43125,18178.66875,8304.10625,17602.95625,42883.29375,53395.5125,44639.58125,31190.5,24744.70625,33369.4625,47113.6875,0.2,118367.2188,123942.1563,90893.34375,41520.53125,88014.78125,214416.4688,266977.5625,223197.9063,155952.5,123723.5313,166847.3125,235568.4375
Guineo,1 ene - 31 dic,365,274,17.125,100,17.125,64.97,68.03,49.89,22.79,48.31,117.69,146.54,122.51,85.6,67.91,91.58,129.3,11126.1125,11650.1375,8543.6625,3902.7875,8273.0875,20154.4125,25094.975,20979.8375,14659,11629.5875,15683.075,22142.625,0.2,55630.5625,58250.6875,42718.3125,19513.9375,41365.4375,100772.0625,125474.875,104899.1875,73295,58147.9375,78415.375,110713.125
Caña de Azucar,1 ene - 31 dic,365,30,1.875,100,1.875,51.98,85.68,136.43,151.06,155.03,171.4,173.19,147.65,108.7,77.66,80.21,99.11,974.625,1606.5,2558.0625,2832.375,2906.8125,3213.75,3247.3125,2768.4375,2038.125,1456.125,1503.9375,1858.3125,0.2,4873.125,8032.5,12790.3125,14161.875,14534.0625,16068.75,16236.5625,13842.1875,10190.625,7280.625,7519.6875,9291.5625
Caña Negra,1 ene - 31 jul,365,120,7.5,100,7.5,51.98,85.68,136.43,151.06,155.03,171.4,173.19,147.65,108.7,77.66,80.21,99.11,3898.5,6426,10232.25,11329.5,11627.25,12855,12989.25,11073.75,8152.5,5824.5,6015.75,7433.25,0.2,19492.5,32130,51161.25,56647.5,58136.25,64275,64946.25,55368.75,40762.5,29122.5,30078.75,37166.25
Yuca,1 ene - 31 jul,210,4578,286.125,40,114.45,42.06,85.5,97.28,74.1,74.12,66.03,26.03,,,,,,48137.67,97854.75,111336.96,84807.45,84830.34,75571.335,29791.335,0,0,0,0,0,0.2,240688.35,489273.75,556684.8,424037.25,424151.7,377856.675,148956.675,0,0,0,0,0
Yuca,1 ago - 28 feb,210,4578,286.125,60,171.675,85.86,57.23,,,,,,0,9.31,26.45,55.94,93.95,147400.155,98249.6025,0,0,0,0,0,0,15982.9425,45408.0375,96034.995,161288.6625,0.2,737000.775,491248.0125,0,0,0,0,0,0,79914.7125,227040.1875,480174.975,806443.3125
Batata,1 ene - 30 abr,120,11052,690.75,20,138.15,76.57,150.63,152.57,96.38,,,,,,,,,105781.455,208095.345,210775.455,133148.97,0,0,0,0,0,0,0,0,0.2,528907.275,1040476.725,1053877.275,665744.85,0,0,0,0,0,0,0,0
Batata,1 feb - 31 may,120,11052,690.75,30,207.225,,80.67,140.32,133.64,98.34,,,,,,,,0,167168.4075,290778.12,276935.49,203785.065,0,0,0,0,0,0,0,0.2,0,835842.0375,1453890.6,1384677.45,1018925.325,0,0,0,0,0,0,0
Batata,1 ago - 30 nov,120,11052,690.75,20,138.15,,,,,,,,34.16,79.11,75.12,73.4,,0,0,0,0,0,0,0,47192.04,109290.465,103778.28,101402.1,0,0.2,0,0,0,0,0,0,0,235960.2,546452.325,518891.4,507010.5,0
Batata,1 sep - 31 dic,120,11052,690.75,30,207.225,,,,,,,,,3.64,64.45,102.05,110.9,0,0,0,0,0,0,0,0,7542.99,133556.5125,211473.1125,229812.525,0.2,0,0,0,0,0,0,0,0,37714.95,667782.5625,1057365.563,1149062.625
Tomate,1 sep - 15 ene,135,36,2.25,40,0.9,58.03,,,,,,,,6.09,28.16,99.34,136.15,522.27,0,0,0,0,0,0,0,54.81,253.44,894.06,1225.35,0.2,2611.35,0,0,0,0,0,0,0,274.05,1267.2,4470.3,6126.75
Tomate,1 oct - 15 feb,135,36,2.25,60,1.35,147.15,63.86,,,,,,,,0,58.78,134.67,1986.525,862.11,0,0,0,0,0,0,0,0,793.53,1818.045,0.2,9932.625,4310.55,0,0,0,0,0,0,0,0,3967.65,9090.225
Cebolla,1 sep - 31 ene,150,13360,835,40,334,110.53,,,,,,,,29.63,58.42,89.29,123.35,369170.2,0,0,0,0,0,0,0,98964.2,195122.8,298228.6,411989,0.2,1845851,0,0,0,0,0,0,0,494821,975614,1491143,2059945
Cebolla,1 oct - 28 feb,150,13360,835,60,501,133.59,119.26,,,,,,,,20.45,86.54,125.02,669285.9,597492.6,0,0,0,0,0,0,0,102454.5,433565.4,626350.2,0.2,3346429.5,2987463,0,0,0,0,0,0,0,512272.5,2167827,3131751
Ajies,1 mar - 10 jun,100,1257,78.5625,40,31.425,,,72,114.87,130.79,32.77,,,,,,,0,0,22626,36097.8975,41100.7575,10297.9725,0,0,0,0,0,0,0.2,0,0,113130,180489.4875,205503.7875,51489.8625,0,0,0,0,0,0
Ajies,1 abr - 10 jul,100,1257,78.5625,60,47.1375,,,,45.78,116.41,147.38,36.59,,,,,,0,0,0,21579.5475,54872.76375,69471.2475,17247.61125,0,0,0,0,0,0.2,0,0,0,107897.7375,274363.8188,347356.2375,86238.05625,0,0,0,0,0
Zanahoria,1 mar - 10 jun,100,81,5.0625,40,2.025,,,85.75,104.87,117.01,38.46,,,,,,,0,0,1736.4375,2123.6175,2369.4525,778.815,0,0,0,0,0,0,0.2,0,0,8682.1875,10618.0875,11847.2625,3894.075,0,0,0,0,0,0
Zanahoria,1 abr - 10 jul,100,81,5.0625,60,3.0375,,,,60.74,105.96,133.34,42.21,,,,,,0,0,0,1844.9775,3218.535,4050.2025,1282.12875,0,0,0,0,0,0.2,0,0,0,9224.8875,16092.675,20251.0125,6410.64375,0,0,0,0,0
Berenjena,1 mar - 10 jun,100,972,60.75,40,24.3,,,66.52,70.52,115.69,132.05,39.88,,,,,,0,0,16164.36,17136.36,28112.67,32088.15,9690.84,0,0,0,0,0,0.2,0,0,80821.8,85681.8,140563.35,160440.75,48454.2,0,0,0,0,0
Berenjena,1 abr - 10 jul,100,972,60.75,60,36.45,,,,39.89,69.76,131.93,135.26,35.17,,,,,0,0,0,14539.905,25427.52,48088.485,49302.27,12819.465,0,0,0,0,0.2,0,0,0,72699.525,127137.6,240442.425,246511.35,64097.325,0,0,0,0
Remolacha,1 feb - 30 abr,100,42,2.625,50,1.3125,,51.04,73.63,118.62,39.58,,,,,,,,0,669.9,966.39375,1556.8875,519.4875,0,0,0,0,0,0,0,0.2,0,3349.5,4831.96875,7784.4375,2597.4375,0,0,0,0,0,0,0
Remolacha,1 mar - 30 may,100,42,2.625,50,1.3125,,,23.08,72.95,134.95,43.32,,,,,,,0,0,302.925,957.46875,1771.21875,568.575,0,0,0,0,0,0,0.2,0,0,1514.625,4787.34375,8856.09375,2842.875,0,0,0,0,0,0
Pepino,1 mar - 15 abr,45,125,7.8125,40,3.125,,,68.3,77.16,108.52,30.65,,,,,,,0,0,2134.375,2411.25,3391.25,957.8125,0,0,0,0,0,0,0.2,0,0,10671.875,12056.25,16956.25,4789.0625,0,0,0,0,0,0
Pepino,1 abr - 15 may,45,125,7.8125,60,4.6875,,,,41.8,76.79,124.7,34.49,,,,,,0,0,0,1959.375,3599.53125,5845.3125,1616.71875,0,0,0,0,0,0.2,0,0,0,9796.875,17997.65625,29226.5625,8083.59375,0,0,0,0,0
Auyama,1 abr - 31 ago,150,1240,77.5,20,15.5,,,,5.68,34.2,124.64,136.91,84.93,,,,,0,0,0,880.4,5301,19319.2,21221.05,13164.15,0,0,0,0,0.2,0,0,0,4402,26505,96596,106105.25,65820.75,0,0,0,0
Auyama,1 may - 30 sep,150,1240,77.5,30,23.25,,,,,2.36,48.71,127.42,113.43,51.13,,,,0,0,0,0,548.7,11325.075,29625.15,26372.475,11887.725,0,0,0,0.2,0,0,0,0,2743.5,56625.375,148125.75,131862.375,59438.625,0,0,0
Auyama,1 sep - 31 ene,150,1240,77.5,20,15.5,112.5,,,,,,,,0,0,81.86,124.5,17437.5,0,0,0,0,0,0,0,0,0,12688.3,19297.5,0.2,87187.5,0,0,0,0,0,0,0,0,0,63441.5,96487.5
Auyama,1 oct - 28 feb,150,1240,77.5,30,23.25,134.86,121.43,,,,,,,,0,28.5,118.02,31354.95,28232.475,0,0,0,0,0,0,0,0,6626.25,27439.65,0.2,156774.75,141162.375,0,0,0,0,0,0,0,0,33131.25,137198.25
Repollo,1 feb - 31 may,120,47,2.9375,40,1.175,,96.59,105.07,115.43,35.37,,,,,,,,0,1134.9325,1234.5725,1356.3025,415.5975,0,0,0,0,0,0,0,0.2,0,5674.6625,6172.8625,6781.5125,2077.9875,0,0,0,0,0,0,0
Repollo,1 mar - 30 jun,120,47,2.9375,60,1.7625,,,82.32,83.71,117.53,40.13,,,,,,,0,0,1450.89,1475.38875,2071.46625,707.29125,0,0,0,0,0,0,0.2,0,0,7254.45,7376.94375,10357.33125,3536.45625,0,0,0,0,0,0
Cilantro,1 feb - 15 may,105,820,51.25,40,20.5,,96.54,99.35,106.05,51.87,,,,,,,,0,19790.7,20366.75,21740.25,10633.35,0,0,0,0,0,0,0,0.2,0,98953.5,101833.75,108701.25,53166.75,0,0,0,0,0,0,0
Cilantro,1 mar - 15 jun,105,820,51.25,60,30.75,,,82.27,77.56,107.71,59.25,,,,,,,0,0,25298.025,23849.7,33120.825,18219.375,0,0,0,0,0,0,0.2,0,0,126490.125,119248.5,165604.125,91096.875,0,0,0,0,0,0
Otras Hortalizas,1 ene - 30 abr,120,2400,150,30,45,90.96,114.23,132.61,113.64,,,,,,,,,40932,51403.5,59674.5,51138,0,0,0,0,0,0,0,0,0.2,204660,257017.5,298372.5,255690,0,0,0,0,0,0,0,0
Otras Hortalizas,1 may - 31 ago,120,2400,150,30,45,,,,,56.25,93.23,132.76,111.14,,,,,0,0,0,0,25312.5,41953.5,59742,50013,0,0,0,0,0.2,0,0,0,0,126562.5,209767.5,298710,250065,0,0,0,0
Otras Hortalizas,1 sep - 31 dic,120,2400,150,40,60,,,,,,,,,21.35,29.38,85.73,122.79,0,0,0,0,0,0,0,0,12810,17628,51438,73674,0.2,0,0,0,0,0,0,0,0,64050,88140,257190,368370
Tabaco,1 nov - 31 dic,150,110,6.875,40,2.75,146.44,161.04,124.24,,,,,,,,23.65,98.84,4027.1,4428.6,3416.6,0,0,0,0,0,0,0,650.375,2718.1,0.2,20135.5,22143,17083,0,0,0,0,0,0,0,3251.875,13590.5
Tabaco,1 dic - 31 dic,150,110,6.875,60,4.125,108.03,158.37,153.14,103.11,,,,,,,,61.4,4456.2375,6532.7625,6317.025,4253.2875,0,0,0,0,0,0,0,2532.75,0.2,22281.1875,32663.8125,31585.125,21266.4375,0,0,0,0,0,0,0,12663.75
Lechosa,1 abr - 31 dic,270,1412,88.25,40,35.3,,,,5.58,6.07,54.4,102.14,112.83,77.89,68.92,75.32,45.42,0,0,0,1969.74,2142.71,19203.2,36055.42,39828.99,27495.17,24328.76,26587.96,16033.26,0.2,0,0,0,9848.7,10713.55,96016,180277.1,199144.95,137475.85,121643.8,132939.8,80166.3
Lechosa,1 may - 31 ene,270,1412,88.25,60,52.95,104.83,,,,7.36,18.42,58.83,68.51,75.95,68.83,85.16,113.76,55507.485,0,0,0,3897.12,9753.39,31150.485,36276.045,40215.525,36445.485,45092.22,60235.92,0.2,277537.425,0,0,0,19485.6,48766.95,155752.425,181380.225,201077.625,182227.425,225461.1,301179.6
Melón,1 feb - 31 may,120,140,8.75,30,2.625,,58.53,107.3,116.5,51.56,,,,,,,,0,1536.4125,2816.625,3058.125,1353.45,0,0,0,0,0,0,0,0.2,0,7682.0625,14083.125,15290.625,6767.25,0,0,0,0,0,0,0
Melón,1 mar - 30 jun,120,140,8.75,40,3.5,,,46.57,86.83,118.67,105.36,,,,,,,0,0,1629.95,3039.05,4153.45,3687.6,0,0,0,0,0,0,0.2,0,0,8149.75,15195.25,20767.25,18438,0,0,0,0,0,0
Melón,1 abr - 31 jul,120,140,8.75,30,2.625,,,,11.65,86,135,110.31,,,,,,0,0,0,305.8125,2257.5,3543.75,2895.6375,0,0,0,0,0,0.2,0,0,0,1529.0625,11287.5,17718.75,14478.1875,0,0,0,0,0
Mango,1 ene - 31 dic,365,2425,151.5625,100,151.5625,116.55,125.32,113.08,97.15,110.36,138.23,146.54,122.51,85.6,63.42,79.33,109.89,176646.0938,189938.125,171386.875,147242.9688,167264.375,209504.8438,222099.6875,185679.2188,129737.5,96120.9375,120234.5313,166552.0313,0.2,883230.4688,949690.625,856934.375,736214.8438,836321.875,1047524.219,1110498.438,928396.0938,648687.5,480604.6875,601172.6563,832760.1563
Pasto Natural,1 ene - 31 dic,365,13658,853.625,100,853.625,110.45,118.16,105.18,82.65,83.74,106.34,117.99,97.36,62.49,46.92,71.81,104.06,942828.8125,1008643.3,897842.775,705521.0625,714825.575,907744.825,1007192.138,831089.3,533430.2625,400520.85,612988.1125,888282.175,0.2,4714144.063,5043216.5,4489213.875,3527605.313,3574127.875,4538724.125,5035960.688,4155446.5,2667151.313,2002604.25,3064940.563,4441410.875
